date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:56:11	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2002%20May%202018%2017:26:11%20GMT	http://themenate.com/espire/html/dist/assets/images/avatars/thumb-12.jpg	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/dist/assets/images/avatars/thumb-12.jpg	(from http://themenate.com/espire/html/dist/data-table.html)
22:56:11	201/201	---M--	200	added ('OK')	image/png	etag:%2220621b3-c9-55846c70c9980%22	http://themenate.com/espire/html/bower_components/datatables/media/images/sort_both.png	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/bower_components/datatables/media/images/sort_both.png	(from http://themenate.com/espire/html/bower_components/datatables/media/css/jquery.dataTables.css)
22:56:12	160/160	---M--	200	added ('OK')	image/png	etag:%2220621b1-a0-55846c6fd5740%22	http://themenate.com/espire/html/bower_components/datatables/media/images/sort_asc.png	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/bower_components/datatables/media/images/sort_asc.png	(from http://themenate.com/espire/html/bower_components/datatables/media/css/jquery.dataTables.css)
22:56:12	165548/165548	---M--	200	added ('OK')	application/x-font-ttf	etag:%222062cec-286ac-55ae16da19240%22	http://themenate.com/espire/html/dist/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/dist/assets/fonts/fontawesome-webfont3e6e.ttf	(from http://themenate.com/espire/html/dist/assets/css/font-awesome.min.css)
22:56:12	158/158	---M--	200	added ('OK')	image/png	etag:%2220621b4-9e-55846c71bdbc0%22	http://themenate.com/espire/html/bower_components/datatables/media/images/sort_desc.png	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/bower_components/datatables/media/images/sort_desc.png	(from http://themenate.com/espire/html/bower_components/datatables/media/css/jquery.dataTables.css)
22:56:12	148/148	---M--	200	added ('OK')	image/png	etag:%2220621b2-94-55846c70c9980%22	http://themenate.com/espire/html/bower_components/datatables/media/images/sort_asc_disabled.png	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/bower_components/datatables/media/images/sort_asc_disabled.png	(from http://themenate.com/espire/html/bower_components/datatables/media/css/jquery.dataTables.css)
22:56:12	146/146	---M--	200	added ('OK')	image/png	etag:%2220621b5-92-55846c71bdbc0%22	http://themenate.com/espire/html/bower_components/datatables/media/images/sort_desc_disabled.png	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/bower_components/datatables/media/images/sort_desc_disabled.png	(from http://themenate.com/espire/html/bower_components/datatables/media/css/jquery.dataTables.css)
22:56:13	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2002%20May%202018%2017:26:12%20GMT	http://themenate.com/espire/html/bower_components/rickshaw/rickshaw.min.js	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/bower_components/rickshaw/rickshaw.min.js	(from http://themenate.com/espire/html/dist/rickshaw.html)
22:56:13	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2002%20May%202018%2017:26:12%20GMT	http://themenate.com/espire/html/dist/assets/images/others/img-14.jpg	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/dist/assets/images/others/img-14.jpg	(from http://themenate.com/espire/html/dist/gallery.html)
22:56:13	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2002%20May%202018%2017:26:12%20GMT	http://themenate.com/espire/html/dist/assets/images/others/img-13.jpg	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/dist/assets/images/others/img-13.jpg	(from http://themenate.com/espire/html/dist/gallery.html)
22:56:13	547/547	---M--	200	added ('OK')	image/png	etag:%222062972-223-55846ea92d680%22	http://themenate.com/espire/html/bower_components/photoswipe/dist/default-skin/default-skin.png	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/bower_components/photoswipe/dist/default-skin/default-skin.png	(from http://themenate.com/espire/html/bower_components/photoswipe/dist/default-skin/default-skin.css)
22:56:13	1554/1554	---M--	200	added ('OK')	image/svg+xml	etag:%222062973-612-55846ea92d680%22	http://themenate.com/espire/html/bower_components/photoswipe/dist/default-skin/default-skin.svg	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/bower_components/photoswipe/dist/default-skin/default-skin.svg	(from http://themenate.com/espire/html/bower_components/photoswipe/dist/default-skin/default-skin.css)
22:56:13	866/866	---M--	200	added ('OK')	image/gif	etag:%222062974-362-55846ea92d680%22	http://themenate.com/espire/html/bower_components/photoswipe/dist/default-skin/preloader.gif	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/bower_components/photoswipe/dist/default-skin/preloader.gif	(from http://themenate.com/espire/html/bower_components/photoswipe/dist/default-skin/default-skin.css)
22:56:13	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2002%20May%202018%2017:26:13%20GMT	http://themenate.com/espire/html/dist/assets/fonts/exclusive-icon.woff	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/dist/assets/fonts/exclusive-icon.woff	(from http://themenate.com/espire/html/dist/assets/css/ei-icon.css)
22:56:15	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2002%20May%202018%2017:26:13%20GMT	http://themenate.com/espire/html/dist/assets/fonts/exclusive-icon.ttf	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/dist/assets/fonts/exclusive-icon.ttf	(from http://themenate.com/espire/html/dist/assets/css/ei-icon.css)
22:56:15	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2002%20May%202018%2017:26:14%20GMT	http://themenate.com/espire/html/dist/assets/fonts/themify.eot?-fvbane	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/dist/assets/fonts/themify9f24.eot	(from http://themenate.com/espire/html/dist/assets/css/themify-icons.css)
22:56:15	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2002%20May%202018%2017:26:14%20GMT	http://themenate.com/espire/html/dist/assets/fonts/themify.eot?	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/dist/assets/fonts/themifyd41d.eot	(from http://themenate.com/espire/html/dist/assets/css/themify-icons.css)
22:56:15	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2002%20May%202018%2017:26:15%20GMT	http://themenate.com/espire/html/dist/assets/fonts/themify.woff?-fvbane	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/dist/assets/fonts/themify9f24.woff	(from http://themenate.com/espire/html/dist/assets/css/themify-icons.css)
22:56:15	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2002%20May%202018%2017:26:15%20GMT	http://themenate.com/espire/html/dist/assets/fonts/themify.ttf?-fvbane	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/dist/assets/fonts/themify9f24.ttf	(from http://themenate.com/espire/html/dist/assets/css/themify-icons.css)
22:56:15	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2002%20May%202018%2017:26:15%20GMT	http://themenate.com/espire/html/dist/assets/fonts/fontawesome-webfont.eot?v=4.7.0	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/dist/assets/fonts/fontawesome-webfont3e6e.eot	(from http://themenate.com/espire/html/dist/assets/css/font-awesome.min.css)
22:56:17	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2002%20May%202018%2017:26:16%20GMT	http://themenate.com/espire/html/dist/assets/fonts/fontawesome-webfont.eot?	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/dist/assets/fonts/fontawesome-webfontd41d.eot	(from http://themenate.com/espire/html/dist/assets/css/font-awesome.min.css)
22:56:17	455/455	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Wed,%2002%20May%202018%2017:26:16%20GMT	http://themenate.com/espire/html/dist/assets/fonts/fontawesome-webfont.woff?v=4.7.0	/home/gaurav/websites/templates/admin33/themenate.com/espire/html/dist/assets/fonts/fontawesome-webfont3e6e.woff	(from http://themenate.com/espire/html/dist/assets/css/font-awesome.min.css)
